Entry	Entry name	Status	Gene names	EnsemblPlants transcript	Cross-reference (STRING)
A0A3Q7I536	A0A3Q7I536_SOLLC	unreviewed		Solyc09g064810.3.1;	
K4C4F7	K4C4F7_SOLLC	unreviewed		Solyc06g024310.1.1;	4081.Solyc06g024310.1.1;
Q93X47	Q93X47_SOLLC	unreviewed	CDKC		4081.Solyc04g056280.2.1;
K4ATY9	K4ATY9_SOLLC	unreviewed		Solyc01g011540.1.1;	4081.Solyc01g011540.1.1;
K4AUU8	K4AUU8_SOLLC	unreviewed		Solyc01g017670.1.1;	
K4BUS1	K4BUS1_SOLLC	unreviewed		Solyc04g078350.1.1;	4081.Solyc04g078350.1.1;
K4CJN4	K4CJN4_SOLLC	unreviewed		Solyc08g022140.1.1;	
A0A3Q7H9W9	A0A3Q7H9W9_SOLLC	unreviewed		Solyc07g021030.2.1;	
A0A3Q7HMH4	A0A3Q7HMH4_SOLLC	unreviewed		Solyc08g062547.1.1;	
A0A3Q7EKQ7	A0A3Q7EKQ7_SOLLC	unreviewed		Solyc01g091590.3.1;	
A0A3Q7HED4	A0A3Q7HED4_SOLLC	unreviewed		Solyc05g049860.2.1;	
A0A3Q7F6H3	A0A3Q7F6H3_SOLLC	unreviewed		Solyc02g081780.2.1;	
A0A3Q7FR60	A0A3Q7FR60_SOLLC	unreviewed		Solyc03g114080.2.1;	
A0A3Q7FKF0	A0A3Q7FKF0_SOLLC	unreviewed		Solyc02g064765.1.1;	
Q38MS5	Q38MS5_SOLLC	unreviewed	I2		
A0A3Q7FUD3	A0A3Q7FUD3_SOLLC	unreviewed	101255780	Solyc03g116380.3.1;	
A0A3Q7GMB4	A0A3Q7GMB4_SOLLC	unreviewed		Solyc05g046080.2.1;	
A0A3Q7FBT5	A0A3Q7FBT5_SOLLC	unreviewed		Solyc01g106215.1.1;	
A0A3Q7J6R4	A0A3Q7J6R4_SOLLC	unreviewed	101245924	Solyc12g019860.2.1;	
A0A3Q7EYS8	A0A3Q7EYS8_SOLLC	unreviewed		Solyc01g065615.1.1;	
A0A3Q7JWM4	A0A3Q7JWM4_SOLLC	unreviewed		Solyc12g049600.2.1;	
A0A494G9I0	A0A494G9I0_SOLLC	unreviewed		Solyc00g065940.1.1;	
A0A3Q7GEV3	A0A3Q7GEV3_SOLLC	unreviewed		Solyc05g018410.2.1;	
A0A3Q7IVF5	A0A3Q7IVF5_SOLLC	unreviewed	101245282	Solyc09g014860.3.1;	
A0A3Q7J3T0	A0A3Q7J3T0_SOLLC	unreviewed	101264293	Solyc12g009880.1.1;	
A0A067XI80	A0A067XI80_SOLLC	unreviewed	Why3		
A0A3Q7GWT1	A0A3Q7GWT1_SOLLC	unreviewed	101264433	Solyc06g054420.3.1;	
A0A3Q7H5L2	A0A3Q7H5L2_SOLLC	unreviewed		Solyc05g007020.3.1;	
A0A3Q7IQE3	A0A3Q7IQE3_SOLLC	unreviewed		Solyc11g008495.1.1;	
A0A3Q7II28	A0A3Q7II28_SOLLC	unreviewed		Solyc08g048255.1.1;	
A0A3Q7HQY5	A0A3Q7HQY5_SOLLC	unreviewed		Solyc06g061130.3.1;	
A0A3Q7I5H2	A0A3Q7I5H2_SOLLC	unreviewed	101256688	Solyc07g041340.2.1;	
A0A3Q7HX32	A0A3Q7HX32_SOLLC	unreviewed	101258401	Solyc09g009660.3.1;	
A0A3Q7HY59	A0A3Q7HY59_SOLLC	unreviewed		Solyc06g083010.1.1;	
A0A3Q7F6R2	A0A3Q7F6R2_SOLLC	unreviewed		Solyc01g097100.1.1;	
A0A3Q7FGL2	A0A3Q7FGL2_SOLLC	unreviewed		Solyc02g021390.1.1;	
A0A3Q7HHT0	A0A3Q7HHT0_SOLLC	unreviewed	101263627	Solyc08g007370.3.1;	
A0A3Q7G838	A0A3Q7G838_SOLLC	unreviewed	101262512	Solyc04g076670.3.1;	
A0A3Q7IRP3	A0A3Q7IRP3_SOLLC	unreviewed		Solyc09g005170.2.1;	
A0A3Q7HJ26	A0A3Q7HJ26_SOLLC	unreviewed		Solyc06g007710.3.1;	
A0A3Q7H5A7	A0A3Q7H5A7_SOLLC	unreviewed		Solyc06g084155.1.1;	
A0A3Q7HT13	A0A3Q7HT13_SOLLC	unreviewed		Solyc08g078785.1.1;	
A0A3Q7H8G5	A0A3Q7H8G5_SOLLC	unreviewed		Solyc07g016090.1.1;	
A0A3Q7IUQ3	A0A3Q7IUQ3_SOLLC	unreviewed		Solyc11g030760.1.1;	
A0A3Q7GYV6	A0A3Q7GYV6_SOLLC	unreviewed	101257779	Solyc06g071410.3.1;	
A0A3Q7G875	A0A3Q7G875_SOLLC	unreviewed		Solyc03g063525.1.1;	
A0A3Q7FVE9	A0A3Q7FVE9_SOLLC	unreviewed	101268667	Solyc03g118150.3.1;	
A0A3Q7I221	A0A3Q7I221_SOLLC	unreviewed		Solyc07g016060.2.1;	
A0A3Q7FIC8	A0A3Q7FIC8_SOLLC	unreviewed		Solyc03g062740.3.1;	
A0A3Q7I0J9	A0A3Q7I0J9_SOLLC	unreviewed	101257978	Solyc07g007350.1.1;	
A0A3Q7H3T5	A0A3Q7H3T5_SOLLC	unreviewed		Solyc06g076253.1.1;	
A0A3Q7ENP5	A0A3Q7ENP5_SOLLC	unreviewed		Solyc01g100455.1.1;	
A0A3Q7J6E3	A0A3Q7J6E3_SOLLC	unreviewed		Solyc10g007720.3.1;	
A0A3Q7EFD5	A0A3Q7EFD5_SOLLC	unreviewed		Solyc01g066620.3.1;	
A0A3Q7JU89	A0A3Q7JU89_SOLLC	unreviewed		Solyc12g019430.2.1;	
A0A3Q7FS19	A0A3Q7FS19_SOLLC	unreviewed	101264914	Solyc03g113510.2.1;	
A0A3Q7GJ34	A0A3Q7GJ34_SOLLC	unreviewed		Solyc05g024125.1.1;	
A0A220T7V8	A0A220T7V8_SOLLC	unreviewed	CBF3		
A0A3Q7IQ28	A0A3Q7IQ28_SOLLC	unreviewed		Solyc11g008120.2.1;	
A0A3Q7HW42	A0A3Q7HW42_SOLLC	unreviewed		Solyc06g074467.1.1;	
A0A3Q7IQ20	A0A3Q7IQ20_SOLLC	unreviewed	101262643	Solyc08g080770.3.1;	
A0A3Q7F9F3	A0A3Q7F9F3_SOLLC	unreviewed		Solyc02g088940.3.1;	
A0A3Q7FIL2	A0A3Q7FIL2_SOLLC	unreviewed		Solyc03g063166.1.1;	
A0A3Q7ILI7	A0A3Q7ILI7_SOLLC	unreviewed		Solyc10g083380.2.1;	
A0A3Q7IDU2	A0A3Q7IDU2_SOLLC	unreviewed	101254713	Solyc08g005960.2.1;	
A0A3Q7FN47	A0A3Q7FN47_SOLLC	unreviewed		Solyc02g069920.3.1;	
A0A3Q7FTM3	A0A3Q7FTM3_SOLLC	unreviewed	101261900	Solyc03g120740.1.1;	
A0A3Q7EA36	A0A3Q7EA36_SOLLC	unreviewed		Solyc01g010502.1.1;	
A0A3Q7GZH2	A0A3Q7GZH2_SOLLC	unreviewed	101265832	Solyc06g072610.3.1;	
A0A3Q7GQ70	A0A3Q7GQ70_SOLLC	unreviewed		Solyc05g054800.2.1;	
A0A3Q7EFJ2	A0A3Q7EFJ2_SOLLC	unreviewed		Solyc01g065843.1.1;	
A0A3Q7H019	A0A3Q7H019_SOLLC	unreviewed		Solyc06g068570.3.1;	
A0A3Q7FNG7	A0A3Q7FNG7_SOLLC	unreviewed	101246225	Solyc03g083990.1.1;	
A0A3Q7F1R7	A0A3Q7F1R7_SOLLC	unreviewed	101254055	Solyc02g069070.3.1;	
A0A3Q7FLT3	A0A3Q7FLT3_SOLLC	unreviewed		Solyc03g071710.1.1;	
A0A3Q7IK12	A0A3Q7IK12_SOLLC	unreviewed		Solyc08g066435.1.1;	
A0A3Q7HZV1	A0A3Q7HZV1_SOLLC	unreviewed		Solyc07g006140.3.1;	
A0A3Q7FV45	A0A3Q7FV45_SOLLC	unreviewed		Solyc03g117620.3.1;	
A0A3Q7JAF5	A0A3Q7JAF5_SOLLC	unreviewed	101261395	Solyc12g049390.2.1;	
A0A3Q7F2D9	A0A3Q7F2D9_SOLLC	unreviewed	101251646	Solyc02g067980.3.1;	
A0A3Q7I568	A0A3Q7I568_SOLLC	unreviewed	101259367	Solyc09g074510.3.1;	
A0A3Q7I0Q9	A0A3Q7I0Q9_SOLLC	unreviewed		Solyc07g007745.1.1;	
A0A3Q7E8K3	A0A3Q7E8K3_SOLLC	unreviewed		Solyc01g005705.1.1;	
A0A3Q7F5S6	A0A3Q7F5S6_SOLLC	unreviewed		Solyc02g081745.1.1;	
A0A3Q7J028	A0A3Q7J028_SOLLC	unreviewed		Solyc09g065457.1.1;	
A0A3Q7IGR8	A0A3Q7IGR8_SOLLC	unreviewed		Solyc10g049900.1.1;	
A0A3Q7FR24	A0A3Q7FR24_SOLLC	unreviewed	101262296	Solyc03g098730.1.1;	
A0A3Q7HRW4	A0A3Q7HRW4_SOLLC	unreviewed	101255018	Solyc08g068100.3.1;	
A0A3Q7FB03	A0A3Q7FB03_SOLLC	unreviewed		Solyc02g091770.2.1;	
A0A3Q7EWL3	A0A3Q7EWL3_SOLLC	unreviewed		Solyc02g022920.1.1;	
A0A3Q7ITS0	A0A3Q7ITS0_SOLLC	unreviewed		Solyc11g020492.1.1;	
A0A3Q7HIU5	A0A3Q7HIU5_SOLLC	unreviewed		Solyc08g014010.3.1;	
A0A3Q7J6N4	A0A3Q7J6N4_SOLLC	unreviewed		Solyc12g035225.1.1;	
A0A3Q7F6M2	A0A3Q7F6M2_SOLLC	unreviewed		Solyc02g082035.1.1;	
A0A3Q7HG62	A0A3Q7HG62_SOLLC	unreviewed	101264649	Solyc07g066100.3.1;	
A0A3Q7HB63	A0A3Q7HB63_SOLLC	unreviewed		Solyc05g018436.1.1;	
A0A3Q7H6U8	A0A3Q7H6U8_SOLLC	unreviewed		Solyc07g021250.1.1;	
A0A3Q7G8P7	A0A3Q7G8P7_SOLLC	unreviewed	101261324	Solyc04g078000.3.1;	
A0A3Q7IM85	A0A3Q7IM85_SOLLC	unreviewed		Solyc08g075620.2.1;	
A0A3P3ZL83	A0A3P3ZL83_SOLLC	unreviewed	slPPO1		
A0A3Q7HXV0	A0A3Q7HXV0_SOLLC	unreviewed	101248513	Solyc09g007040.1.1;	
A0A3Q7I6M7	A0A3Q7I6M7_SOLLC	unreviewed	101249015	Solyc09g072680.2.1;	
A0A3Q7HLW8	A0A3Q7HLW8_SOLLC	unreviewed		Solyc08g061360.1.1;	
A0A3Q7FFS3	A0A3Q7FFS3_SOLLC	unreviewed		Solyc03g006740.2.1;	
A0A3Q7G2B4	A0A3Q7G2B4_SOLLC	unreviewed		Solyc03g007200.2.1;	
A0A3Q7J3H3	A0A3Q7J3H3_SOLLC	unreviewed		Solyc12g008690.2.1;	
A0A3Q7II81	A0A3Q7II81_SOLLC	unreviewed		Solyc08g059790.1.1;	
A0A3Q7F2I2	A0A3Q7F2I2_SOLLC	unreviewed		Solyc01g086897.1.1;	
A0A3Q7GQY9	A0A3Q7GQY9_SOLLC	unreviewed	101249551	Solyc05g056200.1.1;	
A0A3Q7ELY6	A0A3Q7ELY6_SOLLC	unreviewed		Solyc01g096330.2.1;	
A0A3Q7IM39	A0A3Q7IM39_SOLLC	unreviewed	101262159	Solyc10g083520.2.1;	
A0A3Q7FGB3	A0A3Q7FGB3_SOLLC	unreviewed		Solyc03g007770.3.1;	
D5MNY4	D5MNY4_SOLLC	unreviewed			
A0A3Q7G462	A0A3Q7G462_SOLLC	unreviewed	101260636	Solyc04g072220.3.1;	
A0A3Q7EUJ2	A0A3Q7EUJ2_SOLLC	unreviewed		Solyc01g014560.3.1;	
A0A3Q7EWL2	A0A3Q7EWL2_SOLLC	unreviewed		Solyc02g005100.2.1;	
A0A3Q7FSL2	A0A3Q7FSL2_SOLLC	unreviewed	104645789	Solyc02g081180.2.1;	
A0A3Q7F168	A0A3Q7F168_SOLLC	unreviewed	101250476	Solyc02g068060.3.1;	
A0A3Q7JEY4	A0A3Q7JEY4_SOLLC	unreviewed	101256754	Solyc12g099840.1.1;	
A0A3Q7FGC1	A0A3Q7FGC1_SOLLC	unreviewed		Solyc03g007610.3.1;	
A0A3Q7GMX1	A0A3Q7GMX1_SOLLC	unreviewed		Solyc05g050210.3.1;	
A0A3Q7HRE5	A0A3Q7HRE5_SOLLC	unreviewed	104649003	Solyc08g075900.1.1;	
A0A3Q7FK37	A0A3Q7FK37_SOLLC	unreviewed		Solyc02g063280.3.1;	
A0A3Q7J3P2	A0A3Q7J3P2_SOLLC	unreviewed		Solyc12g008730.2.1;	
A0A3Q7JPJ7	A0A3Q7JPJ7_SOLLC	unreviewed		Solyc11g069125.1.1;	
A0A3Q7GPR0	A0A3Q7GPR0_SOLLC	unreviewed		Solyc06g024410.2.1;	
R9WXS0	R9WXS0_SOLLC	unreviewed			
A0A3Q7FJY1	A0A3Q7FJY1_SOLLC	unreviewed		Solyc02g063050.3.1;	
A0A3Q7HCX4	A0A3Q7HCX4_SOLLC	unreviewed		Solyc07g045315.1.1;	
A0A3Q7G818	A0A3Q7G818_SOLLC	unreviewed		Solyc03g063161.1.1;	
A0A3Q7FN39	A0A3Q7FN39_SOLLC	unreviewed		Solyc03g083340.2.1;	
A0A494G8U4	A0A494G8U4_SOLLC	unreviewed		Solyc00g014970.1.1;	
A0A3Q7IQQ1	A0A3Q7IQQ1_SOLLC	unreviewed		Solyc11g006940.2.1;	
A0A3Q7HBU7	A0A3Q7HBU7_SOLLC	unreviewed		Solyc07g041660.3.1;	
A0A3Q7HXD5	A0A3Q7HXD5_SOLLC	unreviewed		Solyc09g005050.1.1;	
A0A3Q7EWS5	A0A3Q7EWS5_SOLLC	unreviewed		Solyc02g032170.3.1;	
A0A3Q7JYQ6	A0A3Q7JYQ6_SOLLC	unreviewed	101263593	Solyc12g098400.2.1;	
A0A3Q7H9Y4	A0A3Q7H9Y4_SOLLC	unreviewed		Solyc07g021152.1.1;	
A0A3Q7IYJ2	A0A3Q7IYJ2_SOLLC	unreviewed	101267377	Solyc11g065270.2.1;	
A0A3Q7J0Y4	A0A3Q7J0Y4_SOLLC	unreviewed		Solyc09g074160.1.1;	
A0A3Q7F420	A0A3Q7F420_SOLLC	unreviewed	101245919	Solyc02g078370.1.1;	
A0A3Q7HDU6	A0A3Q7HDU6_SOLLC	unreviewed		Solyc07g052203.1.1;	
A0A3Q7JE53	A0A3Q7JE53_SOLLC	unreviewed	101247477	Solyc10g076570.2.1;	
A0A3Q7GE47	A0A3Q7GE47_SOLLC	unreviewed		Solyc05g008637.1.1;	
A0A3Q7GJQ1	A0A3Q7GJQ1_SOLLC	unreviewed	101245359	Solyc05g018570.3.1;	
A0A3Q7F9Q3	A0A3Q7F9Q3_SOLLC	unreviewed		Solyc01g103010.3.1;	
A0A3Q7HDP4	A0A3Q7HDP4_SOLLC	unreviewed		Solyc07g048070.3.1;	
A0A494G9A1	A0A494G9A1_SOLLC	unreviewed		Solyc00g031370.2.1;	
A0A3Q7JCJ4	A0A3Q7JCJ4_SOLLC	unreviewed		Solyc12g088310.2.1;	
A0A3Q7GN81	A0A3Q7GN81_SOLLC	unreviewed		Solyc04g005830.3.1;	
A0A3Q7EHC3	A0A3Q7EHC3_SOLLC	unreviewed		Solyc01g073820.3.1;	
A0A3Q7EN35	A0A3Q7EN35_SOLLC	unreviewed	101245500	Solyc01g099260.3.1;	
Q8RW42	Q8RW42_SOLLC	unreviewed	cgi1		
A0A3Q7J7S9	A0A3Q7J7S9_SOLLC	unreviewed		Solyc10g012145.1.1;	
A0A3Q7GZX9	A0A3Q7GZX9_SOLLC	unreviewed	101267246	Solyc06g068310.1.1;	
A0A3Q7G017	A0A3Q7G017_SOLLC	unreviewed		Solyc04g015010.3.1;	
A0A3Q7G066	A0A3Q7G066_SOLLC	unreviewed		Solyc04g009560.3.1;	
A0A3Q7GSE1	A0A3Q7GSE1_SOLLC	unreviewed	101250022	Solyc06g048780.1.1;	
A0A3Q7I151	A0A3Q7I151_SOLLC	unreviewed		Solyc09g014955.1.1;	
A0A3Q7GDM4	A0A3Q7GDM4_SOLLC	unreviewed	101266720	Solyc05g007560.3.1;	
A0A3Q7IHX1	A0A3Q7IHX1_SOLLC	unreviewed	101243835	Solyc10g055680.1.1;	
A0A3Q7GW39	A0A3Q7GW39_SOLLC	unreviewed		Solyc06g052030.3.1;	
A0A3Q7IKN6	A0A3Q7IKN6_SOLLC	unreviewed	101256534	Solyc10g078940.2.1;	
A0A3Q7GQY4	A0A3Q7GQY4_SOLLC	unreviewed	101249824	Solyc05g056170.3.1;	
A0A3Q7G9V8	A0A3Q7G9V8_SOLLC	unreviewed	101264002	Solyc04g078120.3.1;	
A0A3Q7I0H3	A0A3Q7I0H3_SOLLC	unreviewed		Solyc09g018960.3.1;	
A0A3Q7HP50	A0A3Q7HP50_SOLLC	unreviewed		Solyc06g053210.3.1;	
A0A3Q7IZG2	A0A3Q7IZG2_SOLLC	unreviewed		Solyc11g067020.2.1;	
A0A3Q7GD55	A0A3Q7GD55_SOLLC	unreviewed		Solyc05g006640.3.1;	
A0A3Q7GD09	A0A3Q7GD09_SOLLC	unreviewed	101247015	Solyc05g005180.3.1;	
A0A494G8K6	A0A494G8K6_SOLLC	unreviewed		Solyc00g009050.2.1;	
Q9SE09	Q9SE09_SOLLC	unreviewed	LTC		
A0A3Q7IJG1	A0A3Q7IJG1_SOLLC	unreviewed		Solyc10g078450.2.1;	
A0A3Q7H5F8	A0A3Q7H5F8_SOLLC	unreviewed		Solyc06g083660.3.1;	
A0A3Q7JPU4	A0A3Q7JPU4_SOLLC	unreviewed	101244156	Solyc11g069910.2.1;	
A0A3Q7J4W6	A0A3Q7J4W6_SOLLC	unreviewed	101248458	Solyc12g015780.2.1;	
A0A3Q7IVG0	A0A3Q7IVG0_SOLLC	unreviewed		Solyc11g040060.2.1;	
A0A3Q7EF45	A0A3Q7EF45_SOLLC	unreviewed		Solyc01g058500.3.1;	
A0A3Q7EIR1	A0A3Q7EIR1_SOLLC	unreviewed		Solyc01g086750.3.1;	
Q6RHX9	Q6RHX9_SOLLC	unreviewed	XTH6		
Q6VVW8	Q6VVW8_SOLLC	unreviewed	Dem2		
A0A3Q7FBC6	A0A3Q7FBC6_SOLLC	unreviewed	101261182	Solyc02g092430.1.1;	
A0A3Q7HDQ2	A0A3Q7HDQ2_SOLLC	unreviewed		Solyc07g056340.3.1;	
A0A3Q7EA62	A0A3Q7EA62_SOLLC	unreviewed		Solyc01g010240.3.1;	
A0A3Q7F0J3	A0A3Q7F0J3_SOLLC	unreviewed		Solyc01g073750.3.1;	
A0A3Q7EZG5	A0A3Q7EZG5_SOLLC	unreviewed	101265100	Solyc02g064850.2.1;	
A0A3Q7HTU8	A0A3Q7HTU8_SOLLC	unreviewed	101261056	Solyc08g076710.3.1;	
A0A3Q7GPE5	A0A3Q7GPE5_SOLLC	unreviewed	101267024	Solyc05g055440.1.1;	
