Entry	Status	yourlist:M201904245C475328CEF75220C360D524E9D456CE077D18J	Gene names
Q9C768	reviewed		UGT76B1 At3g11340 F11B9.23 F24K9.1
Q9FI99	reviewed		UGT76C1 At5g05870 K18J17.2
Q9FI96	reviewed		UGT76C3 At5g05900 K18J17.5
Q9LTH3	reviewed		UGT76E1 At5g59580 F2O15.16
Q9T081	reviewed		UGT79B3 At4g27570 T29A15.60
Q9LJA6	reviewed		UGT79B4 At3g29630 MTO24.24
Q9LPS8	reviewed		UGT79B5 At1g50580 F11F12.10 F17J6.10
Q9M0P3	reviewed		UGT79B7 At4g09500 T15G18.80
O81010	reviewed		UGT79B8 At2g22930 T20K9.14
Q9FN28	reviewed		UGT79B9 At5g53990 K19P17.16
Q9M8Z7	reviewed		UGT80A2 At3g07020 F17A9.17
O23402	reviewed		UGT84A4 At4g15500 dl3790c FCAALL.307
O22182	reviewed		UGT84B1 At2g23260 T20D16.11
Q9ZWJ3	reviewed		UGT85A2 At1g22360 T16E15.3
Q9M9E7	reviewed		UGT85A4 At1g78270 F3F9.19
Q9LMF0	reviewed		UGT85A5 UGT3 At1g22370 T16E15.2
Q9SJL0	reviewed		UGT86A1 At2g36970 T1J8.15
Q9ZUV0	reviewed		UGT86A2 At2g28080 F24D13.13
O64732	reviewed		UGT87A1 At2g30150 T27E13.11
O64733	reviewed		UGT87A2 At2g30140 T27E13.12
Q9LK73	reviewed		UGT88A1 At3g16520 MDC8.15
Q9LXV0	reviewed		UGT92A1 At5g12890 T24H18.60
Q940S3	reviewed		GLCNAC1PUT1 At1g31070 F17F8.1
O64571	reviewed		UBA1C At2g19380 F27F23.27
Q9LES2	reviewed		UBA2A At3g56860 T8M16.190
O80678	reviewed		UBA2B At2g41060 T3K9.17
Q9LKA4	reviewed		UBA2C At3g15010 K15M2.15
O65041	reviewed		ECR1 At5g19180 T24G5_80
O23034	reviewed		At1g05350 YUP8H12.3
P35134	reviewed		UBC11 At3g08690 F17O14.16
Q9FKT3	reviewed		UBC30 At5g56150 MDA7.21
Q9C8X7	reviewed		UBC31 At1g36340 F7F23.6
Q9SHI7	reviewed		UBC34 At1g17280 F20D23.1
F4HPP7	reviewed		UBC39 At1g53023 F14G24.31 F8L10
P42748	reviewed		UBC4 At5g41340 MYC6.5
Q8W3M6	reviewed		At4g06599 T11G11
Q9LF41	reviewed		PUB1 UFD2 At5g15400 T20K14_10
Q7XA06	reviewed		SYT3 SYTC At5g04220 F21E1.140
O04630	reviewed		THRRS At5g26830 F2P16.7
Q6A329	reviewed		SUC6 SUC13 At5g43610 K9D7.11
Q8LAD2	reviewed		At5g23250 MKD15.11
Q9XGN1	reviewed		TTG1 At5g24520 K18P6_4 T31K7.8
Q9MAH1	reviewed		TTL1 At1g53300 F12M16.20
F4IXE4	reviewed		TTL2 At3g14950 K15M2.9
Q9SIN1	reviewed		TTL3 VIT At2g42580 F14N22.15
Q84JR9	reviewed		TTL4 At3g58620 F14P22.210
O23627	reviewed		At1g29880 F1N18.8
Q9SIY3	reviewed		TTM3 At2g11890 F23M2.5
O82413	reviewed		At3g46100 F12M12_70
Q9SW95	reviewed		SYNC2 NS2 At3g07420 F21O3.13
O48593	reviewed		SYNO NS1 OVA8 At4g17300 dl4685w
Q39233	reviewed		SYP21 At5g16830 F5E19_170
Q9FFK1	reviewed		SYP31 At5g05760 MJJ3.17
Q9LK09	reviewed		SYP32 At3g24350 K7M2.13
O65359	reviewed		SYP41 At5g26980 F2P16.16
Q94KK6	reviewed		SYP72 At3g45280 F18N11.40
Q8W4K1	reviewed		At4g04670 T19J18.2
Q8RWV8	reviewed		SNRNP65 At1g09230 T12M4.6
Q9SR32	reviewed		At3g09310 F3L24.18
O23212	reviewed		U2AF65A At4g36690 C7A10.670
Q9S709	reviewed		U2AF35A AUSA At1g27650 T17H3.14 T22C5.10
O23247	reviewed		EMB1027 At4g26300 T25K17.110
Q8GW16	reviewed		At5g66675 MSN2.6
Q9SMN4	reviewed		At3g48650 T8P19.160
Q9SMU4	reviewed		At3g49070 T2J13.90
Q9LSY5	reviewed		UGT71B7 At3g21790 MSD21.10 MSD21.15
Q9FE68	reviewed		UGT71C5 At1g07240 F10K1.5
O82383	reviewed		UGT71D1 At2g29730 T27A16.17
O82385	reviewed		UGT71D2 At2g29710 T27A16.19
Q9LNI1	reviewed		UGT72B3 At1g01420 F6F3.22
Q94A84	reviewed		UGT72E1 At3g50740 F18B3.20
O81498	reviewed		UGT72E3 At5g26310 F9D12.4
Q9ZQG4	reviewed		UGT73B5 At2g15480 F9O13.3
Q9ZQ96	reviewed		UGT73C3 At2g36780 F13K3.18
Q9ZQ97	reviewed		UGT73C4 At2g36770 F13K3.17
Q9SCP6	reviewed		UGT73D1 At3g53150 T4D2.80
O48676	reviewed		UGT74B1 At1g24100 F3I6.2
Q9SKC1	reviewed		UGT74C1 At2g31790 F20M17.17
Q9SKC5	reviewed		UGT74D1 JGT1 At2g31750 F20M17.21
P0C7P7	reviewed		UGT74E1 At1g05675 F3F20.12
Q9SYK9	reviewed		UGT74E2 At1g05680 F3F20.13
Q9FI97	reviewed		UGT76C5 At5g05890 K18J17.4
Q9STE3	reviewed		UGT76E4 At3g46690 T6H20.280
Q9STE6	reviewed		UGT76E5 At3g46720 T6H20.250
Q9LS16	reviewed		UGT76E7 At5g38040 F16F17.40
Q9LS21	reviewed		UGT76E9 At5g38010 F16F17.1
Q9S9P6	reviewed		UGT78D1 At1g30530 F26G16.15
Q9XIQ5	reviewed		UGT79B10 At1g64910 F13O11.21
Q9XIQ4	reviewed		UGT79B11 At1g64920 F13O11.22
Q9SNB1	reviewed		UGT76E11 At3g46670 F12A12.190
Q94AB5	reviewed		UGT76E12 At3g46660 F12A12.180
Q9XIG1	reviewed		UGT80B1 TT15 At1g43620 T10P12.7
Q9LHJ2	reviewed		UGT82A1 At3g22250 MMP21.3
Q9SGA8	reviewed		UGT83A1 At3g02100 F1C9.11
O23401	reviewed		UGT84A3 At4g15490 dl3785c FCAALL.17
O22183	reviewed		UGT84B2 At2g23250 T20D16.12
Q9SK82	reviewed		UGT85A1 ZOG2 At1g22400 F12K8.26
Q9LME8	reviewed		UGT85A7 At1g22340 T16E15.5
Q9ZVX4	reviewed		UGT90A1 At2g16890 F12A24.7
Q9SY84	reviewed		UGT90A2 At1g10400 F14N23.30
Q940V3	reviewed		UGT91A1 At2g22590 T9I22.3
Q9LSM0	reviewed		UGT91B1 At5g65550 K21L13.6
Q9LTA3	reviewed		UGT91C1 At5g49690 K2I5.5
Q9LMK5	reviewed		STN1 At1g07130 F10K1.17
Q9LT15	reviewed		STP10 At3g19940 MPN9.19
Q9FLP5	reviewed		SUMO3 SUM3 At5g55170 MCO15.12
F4I8I0	reviewed		SUN4 At1g71360 F26A9.26
Q3E8A8	reviewed		SUMO7 SUM7 At5g55855 MWJ3
Q38895	reviewed		SUP FLO10 At3g23130 K14B15.1
Q8H104	reviewed		At4g26870 F10M23.210
Q9SGE9	reviewed		At1g72550 F28P22.26
Q39238	reviewed		TOUSLED TSL At5g20930 F22D1.100
Q9LUI3	reviewed		TSO1 At3g22780 MWI23.15
Q8RYD9	reviewed		TT16 ABS AGL32 At5g23260 MKD15.12
Q8VWG3	reviewed		TT1 WIP1 At1g34790 F11O6.15
Q9FJA2	reviewed		TT2 MYB123 At5g35550 MOK9.18
Q8W4P9	reviewed		TT9 GFS9 At3g28430 MFJ20.13
Q9LVM5	reviewed		TTL At5g58220 MCK7.9
F4JRR5	reviewed		TTL At4g24900 F13M23.40
Q9C664	reviewed		TTM2 At1g26190 F28B23.13
Q8L785	reviewed		EDD1 At3g48110 T17F15.20
F4IYF8	reviewed		At3g02760 F13E7.30
O22943	reviewed		STL1 At2g41770 T11A7.13
Q0WT24	reviewed		STOP2 At5g22890 MRN17.12
Q8GW61	reviewed		STP14 At1g77210 T14N5.7
P23586	reviewed		STP1 At1g11260 T28P6.9
Q8GV05	reviewed		TRY At5g53200 MFH8.14
Q9S7R5	reviewed		TSF At4g20370 F9F13.20
Q9C9W4	reviewed		TSM1 At1g67990 T23K23.16
Q8VZG7	reviewed		TSN1 At5g07350 T2I1.60
Q9FLT0	reviewed		TSN2 At5g61780 MAC9.10
O82245	reviewed		TSPO At2g47770 F17A22.16
Q94K73	reviewed		At3g58140 F9D24.50
Q39231	reviewed		SUC2 SUT1 At1g22710 T22J18.12
O80605	reviewed		SUC3 SUT2 At2g02860 T17M13.3
Q8RXK8	reviewed		OVA2 At5g49030 K19E20.18
O64628	reviewed		At2g18990 F19F24.19
Q8RY79	reviewed		ELI5 At2g20340 F11A3.11
Q8H1D9	reviewed		TDP1 At5g15170 F8M21.60
Q9SSK1	reviewed		SYNC3 At1g70980 F15H11.17
Q9SWH4	reviewed		SYP42 At4g02195 T10M13.19 T2H3.1
Q9SUJ1	reviewed		SYP43 At3g05710 F18C1.2
Q9SA23	reviewed		SYP51 At1g16240 F3O9.4
Q94KK5	reviewed		SYP73 At3g61450 F2A19.50
P59277	reviewed		SYP81 At1g51740 F19C24.5
Q9FYR6	reviewed		OVA6 At5g52520 T4M5.3
Q05153	reviewed		SSRP1 HMGB8 NFD8 At3g28730 T19N8.2
Q9MAC8	reviewed		SS2 At3g01180 T4P13.13
F4IAG2	reviewed		SS3 At1g11720 F25C20.13
Q38874	reviewed		STM At1g62360 F2401.9
Q9LDU6	reviewed		DWF5 ST7R At1g50430 F11F12.21
O82662	reviewed		At2g20420 F11A3.3
F4I316	reviewed		SUN3 At1g22882 F19G10.15
Q9SIV0	reviewed		SUR1 ALF1 HLS3 RTY RTY1 At2g20610 F23N11.7
O82314	reviewed		At2g25830 F17H15.14
Q84WS8	reviewed		SNRNP25 At3g07860 F17A17.20
Q9CAE4	reviewed		SNRNP31 At3g10400 F13M14.33
Q8VY74	reviewed		SNRNP35 At2g43370 T1O24.11
Q9M8X2	reviewed		SNRNP48 At3g04160 T6K12.22
Q8VYD3	reviewed		SNRNP59 At2g46200 T3F17.15
Q8L716	reviewed		U2AF65B At1g60900 T7P1.5
Q9C713	reviewed		At1g66530 F28G11.14
Q9SYZ8	reviewed		At4g34330 F10M10.100
Q9LHD9	reviewed		At3g28270 MZF16.5
Q9LJK4	reviewed		At3g19250 MVI11.17
Q9LT84	reviewed		At3g19330 MLD14.6
Q9M1J0	reviewed		At3g57100 F24I3.180
P0DI79	reviewed		At3g28300 MZF16.9
Q39168	reviewed		At1g62000 F8K4.19
O04573	reviewed		At1g62060 F19K23.1
O04575	reviewed		At1g62080 F19K23.3 F19K23_29
O04587	reviewed		At1g62220 F19K23.15
Q8GXB1	reviewed		At2g17695 T17A5.13
Q9ZVL6	reviewed		At1g54780 T22H22.19
Q9LSY9	reviewed		UGT71B1 At3g21750 MSD21.6 MSD21.8
Q9LSY8	reviewed		UGT71B2 HYR1 At3g21760 MSD21.7 MSD21.9
O23382	reviewed		UGT71B5 At4g15280 dl3685w FCAALL.255
Q9LSY6	reviewed		UGT71B6 At3g21780 MSD21.11 MSD21.9
Q9LSY4	reviewed		UGT71B8 At3g21800 MSD21.11 MSD21.16
O82381	reviewed		UGT71C1 At2g29750 T27A16.15
O82382	reviewed		UGT71C2 At2g29740 T27A16.16
Q9LML7	reviewed		UGT71C3 At1g07260 F10K1.3
Q9LML6	reviewed		UGT71C4 At1g07250 F10K1.4
Q8W491	reviewed		UGT73B3 At4g34131 F28A23.120
O22820	reviewed		UGT74F1 At2g43840 F18O19.5
Q9FIA0	reviewed		UGT76C2 At5g05860 MJJ3.28
Q9FI98	reviewed		UGT76C4 At5g05880 K18J17.3
O48715	reviewed		UGT76D1 At2g26480 T9J22.15
Q9LTH2	reviewed		UGT76E2 At5g59590 F2O15.19
Q494Q1	reviewed		UGT76E3 At3g46700 T6H20.270
Q9SNB0	reviewed		UGT76E6 At3g46680 F12A12.200
Q9M052	reviewed		UGT76F1 At3g55700 F1I16.110
Q9M051	reviewed		UGT76F2 At3g55710 F1I16.120
Q9LFJ8	reviewed		UGT78D2 AGT At5g17050 F2K13.200
Q9LFK0	reviewed		UGT78D3 At5g17030 F2K13.180
Q9LFJ9	reviewed		UGT78D4 At5g17040 F2K13.190
Q9T080	reviewed		UGT79B2 At4g27560 T29A15.50
Q9FN26	reviewed		UGT79B6 At5g54010 K19P17.18
Q5XF20	reviewed		UGT84A1 At4g15480 dl3780c FCAALL.304
Q9LVF0	reviewed		UGT84A2 BRT1 SGT SGT1 At3g21560 MIL23.13
Q9LMF1	reviewed		UGT85A3 At1g22380 F12K8.28 T16E15.1
Q9LZD8	reviewed		UGT89A2 At5g03490 F12E4.260
Q9C9B0	reviewed		UGT89B1 At1g73880 F2P9.25
Q9LNE6	reviewed		UGT89C1 At1g06000 T21E18.5
Q8VXY9	reviewed		UAH AAH2 At5g43600 K9D7.10
O64765	reviewed		GLCNAC1PUT2 ATUAP1 At2g35020 F19I3.25
Q9ZU75	reviewed		RCE2 At2g18600 F24H14.5
Q9SHZ6	reviewed		UBA1A At2g22090 T16B14.6
Q9SHZ5	reviewed		UBA1B At2g22100 T16B14.5
P35133	reviewed		UBC10 UBC12 At5g53300 K19E1.10
Q42541	reviewed		UBC13 At3g46460 F18L15.180
P42747	reviewed		UBC14 UBC3 UBC7 At3g55380 T22E16.40
P42743	reviewed		UBC15 UBC2-1 At1g45050 F27F5.13
Q9LJZ5	reviewed		UBC19 At3g20060 MAL21.6
P25865	reviewed		UBC1 At1g14400 F14L17.17 F14L17_35
Q9FF66	reviewed		UBC22 At5g05080 MUG13.6
Q9ZVX1	reviewed		UBC23 At2g16920 F12A24.10
Q8VY10	reviewed		UBC24 PHO2 At2g33770 T1B8.8
Q9LUQ5	reviewed		UBC25 At3g15355 MJK13.1
Q39230	reviewed		At5g27470 F21A20_180
Q94F47	reviewed		UBC28 At1g64230 F22C12.2
Q9SLE4	reviewed		UBC29 At2g16740 T24I21.15
P42745	reviewed		UBC2 At2g02760 T20F6.10
Q9LSP7	reviewed		UBC32 At3g17000 K14A17.7
Q9FK29	reviewed		UBC33 At5g50430 MXI22.15
Q94A97	reviewed		UBC35 UBC13A UBG13A At1g78870 F9K20.8
P42746	reviewed		UBC3 At5g62540 K19B1.15
P42749	reviewed		UBC5 At1g63800 F24D7.1 T12P18.18
Q42540	reviewed		UBC7 At5g59300 MNC17.21
P35132	reviewed		UBC9 UBC4B At4g27960 T13J8.70
P93028	reviewed		UBA1 MOS5 At2g30110 T27E13.15
P92974	reviewed		UBA2 At5g06460 MHF15.2
B6ETT4	reviewed		SYT2 SYTB At1g20080 T20H2.13
Q39232	reviewed		SUC1 At1g71880 F17M19.3
Q67YF8	reviewed		SUC7 At1g66570 F28G11.1 T12I7.2
Q9FG00	reviewed		SUC9 At5g06170 MBL20.5
Q84W65	reviewed		SUFE1 EMB1374 SUFE At4g26500 M3E9.70
Q94JV4	reviewed		At1g54290 F20D21.53
P55852	reviewed		SUMO1 SMT3 SUM1 At4g26840 F10M23.180
Q9FF75	reviewed		SUN1 At5g04990 MUG13.15
Q9FKC5	reviewed		SUMO4 SUM4 At5g48710 K24G6.4
Q9LYL3	reviewed		At3g56300 F18O21_260
B3LFA4	reviewed		At5g38830 K15E6.4
F4JJT9	reviewed		At4g33760 T16L1.250
Q9M084	reviewed		IBI1 At4g31180
Q9XFH8	reviewed		At3g02730 F13E7.33
Q42403	reviewed		TRX3 At5g42980 MBD2.18
Q9C9Y6	reviewed		TRX9 ATH9 At3g08710 F17O14.18
Q9SEU8	reviewed		TRXM2 At4g03520 F9H3.15 T5L23.1
Q9SEU6	reviewed		At3g15360 MJK13.2
O64764	reviewed		At2g35010 F19I3.24
Q93VQ9	reviewed		At1g31020 F17F8.6
Q8LD49	reviewed		ATHX ATHP At1g50320 F14I3.8
F4IHS2	reviewed		SYD CHR3 At2g28290 T3B23
Q9XEA0	reviewed		EMB2369 At4g04350 T19B17.7
Q9SW96	reviewed		SYNC1 EMB2755 At5g56680 MIK19.13
Q8GUL8	reviewed		At5g19230 T24G5.130
Q84VZ5	reviewed		At5g19240 T24G5.140
P59833	reviewed		At5g19250 T24G5.150
Q84MC0	reviewed		At3g06035 24F17.7
Q8GUI4	reviewed		At1g61900 F8K4.10
Q9SUC9	reviewed		At4g28100 T13J8.210
F4KE63	reviewed		EMB2247 At5g16715
Q9XI00	reviewed		SKIP32 FBP7 At1g21760 F8K7.20
Q9LTJ2	reviewed		SMR14 SMR13 At5g59360 F2O15.2
Q9FMT4	reviewed		At5g14170 MUA22.17
Q9LMG8	reviewed		SNAP30 At1g13890 F16A14.10
Q9SVD0	reviewed		SMXL3 At3g52490 F22O6.130
Q39227	reviewed		SMT2 CVP1 At1g20330 F14O10.7
Q9FK60	reviewed		CSD3 At5g18100 MRG7.6
F4I6M4	reviewed		TOR1L1 SP2L At1g50890 F8A12.11
F4IK92	reviewed		TOR1L2 At2g07170 T25N22.13
Q6NPR6	reviewed		TOR1L3 At5g62580 K19B1.19
Q9XIE4	reviewed		TOR1L5 At1g59850 F23H11.17
Q9SMU7	reviewed		SRP9 At3g49100 T2J13.60
Q9LUL4	reviewed		SRF7 At3g14350 MLN21.15
Q9C8N5	reviewed		STOP1 At1g34370 F7P12.7
O65413	reviewed		STP12 At4g21480 F18E5.100
Q94AZ2	reviewed		STP13 MSS1 At5g26340 F9D12.17
Q9C8X2	reviewed		SUC5 At1g71890 F17M19.4
Q9FLP6	reviewed		SUMO2 SUM2 At5g55160 MCO15.11
Q9S850	reviewed		SOX MCP At3g01910 F1C9.31 F28J7.38
Q9LP74	reviewed		At1g48510 T1N15.12
Q9M111	reviewed		SUS3 At4g02280 T2H3.8
Q9SV13	reviewed		SULTR3;1 ST1 At3g51895 ATEM1.15 F4F15.10
O04289	reviewed		SULTR3;2 At4g02700 T10P11.3
Q9LW86	reviewed		SULTR3;4 At3g15990 MSL1.3
Q9FY46	reviewed		SULTR4;1 At5g13550 MSH12.1 T6I14_80
Q9SMX1	reviewed		SUV3 EDA15 PDD17 PDD26 At4g14790 dl3435c FCAALL.309
Q9FVC1	reviewed		SVP At2g22540 F14M13.6
Q9C5P0	reviewed		SUVH8 SDG21 SET21 At2g24740 F27A10.5
O82266	reviewed		SWA1 EDA13 EDA19 At2g47990 F17A22 T9J23.30
Q9FNC7	reviewed		SUVR2 SDG18 SET18 At5g43990 MRH10.10
Q8W595	reviewed		SUVR4 SDG31 SET31 At3g04380 T27C4.2
Q8VZL6	reviewed		SWC4 At2g47210 T8I13.5
Q944M5	reviewed		SWEET4 At3g28007 MMG15.4
Q9C9M9	reviewed		SWEET6 At1g66770 F4N21.10
Q8LBF7	reviewed		SWEET7 At4g10850 F25I24.60 F8M12.20
Q8LFH5	reviewed		SWEET8 RPG1 At5g40260 MSN9.17 MSN9_160
Q9ZV02	reviewed		SWEET9 At2g39060 T7F6.23
Q8W475	reviewed		SWI3A CHB1 At2g47620 T30B22.7
Q84JG2	reviewed		SWI3B CHB2 At2g33610 F4P9.38
Q9XI07	reviewed		SWI3C CHB4 At1g21700 F8K7.13
Q9LUE3	reviewed		SWEET10 At5g50790 MFB16.19
Q9SMM5	reviewed		SWEET11 At3g48740 T21J18.1 T8P19.250
Q9FY94	reviewed		SWEET15 SAG29 At5g13170 T19L5.130
Q9SXB0	reviewed		SYP125 At1g11250 T28P6.10
Q9SRV7	reviewed		SYP131 At3g03800 F20H23.28
P36428	reviewed		ALATS ALARS At1g50200 F14I3.17
P45434	reviewed		At2g21160 F26H11.8
P68209	reviewed		At5g08300 F8L15_30
F4JCU0	reviewed		SUA RSN1 At3g54230 F24B22.190
Q8VZI7	reviewed		SUMO5 SUM5 At2g32765 F24L7.10
B3H5R8	reviewed		SUMO8 SUM8 At5g55856 MWJ3
Q9C9B9	reviewed		TTM1 At1g73980 F2P9.15
Q9FXG2	reviewed		At1g29870 F1N18.9
Q8L7M0	reviewed		TUN At1g16570 F19K19.11
Q9M0G4	reviewed		At4g28680 T5F17.130
Q9SVN5	reviewed		At4g13780 F18A5.170
Q9M2T9	reviewed		OVA1 At3g55400 T22E16.60
Q944B6	reviewed		TYRAAT1 At5g34930 T2L5.1
Q9LMR3	reviewed		TYRAAT2 At1g15710 F7H2.5
Q9M146	reviewed		MGP4 At4g01220 F2N1.35
O81020	reviewed		NPC2 At2g26870 F12C20.9
Q9SRQ7	reviewed		NPC4 At3g03530 T21P5.5
Q8H965	reviewed		NPC6 At3g48610
P93002	reviewed		NPR1 NIM1 SAI1 At1g64280 F15H21.6
Q7X6Y7	reviewed		MMD1 DUET At1g66170 F15E12.11
Q8LC68	reviewed		NRP2 NFA5 At1g18800 F6A14.10
P38420	reviewed		NRPB2 EMB1989 RP140 RPB135 RPB2 At4g21710 F17L22.170
O48890	reviewed		NRPB4 RPB15.9 RPB4 At5g09920 MYH9.13
Q9LK40	reviewed		NRPD2 DMS2 DRD2 NRPD2a NRPE2 RPD2a At3g23780 MYM9.13
Q6DBA5	reviewed		NRPD4 NRPE4 RDM2 At4g15950 dl4012w
Q8LE42	reviewed		NRPD7 At3g22900
Q5D869	reviewed		NRPE1 DMS5 DRD3 NRPD1b RMD1 RPE1 At2g40030 T28M21.19
F4JN35	reviewed		NTL9 CBNAC At4g35580 F8D20.90
Q9FHI1	reviewed		MOB1A At5g45550 MFC19.22
P92533	reviewed		ND3 NAD3 AtMg00990
Q9M658	reviewed		MOM1 MOM At1g08060 T6D22.14
Q8L7Y9	reviewed		NPC1 At1g07230 F10K1.6
Q04613	reviewed		AtMg00640
Q2HIM5	reviewed		At5g03345 F12E4
Q0WVF8	reviewed		MMS19 MET18 At5g48120 MDN11.21
Q8GYD2	reviewed		MND1 At4g29170 F19B15.200
Q39211	reviewed		NRPB3 NRPD3 NRPE3A RPB36A At2g15430 F26H6.5
P38421	reviewed		NRPB7 RPB19 At5g59180 MNC17.9
Q9M0Y8	reviewed		NSF At4g04910 T1J1.4
Q9SGN6	reviewed		NSL1 At1g28380 F3M18.18
Q93XW5	reviewed		NSP5 At5g48180 MIF21.7
A1A6K6	reviewed		NSRA At1g76940 F22K20.4
Q9LU76	reviewed		At5g57100 MUL3.4
Q9FG70	reviewed		At5g55950 MYN21.6
Q9C512	reviewed		MNS1 MANIB At1g51590 F19C24.18 F5D21.1
Q8H116	reviewed		MNS2 MANIA At3g21160 MSA6.31
Q9FG93	reviewed		MNS4 At5g43710 MQD19.4 MQO24.4
Q9XIK4	reviewed		At1g10490 T10O24.10
O81815	reviewed		MO1 At4g15760 dl3920c FCAALL.376
Q9ZQ77	reviewed		At2g03410 T4M8.16
Q9M0M4	reviewed		At4g17270 dl4670w
Q9FGK3	reviewed		At5g47540 MNJ7.13
O81816	reviewed		MO2 At4g38540 F20M13.100
Q9FLC2	reviewed		MO3 At5g05320 K18I23.12
Q9SIC4	reviewed		NTH1 At2g31450 T28P16.6
O81770	reviewed		MGD1 MGDA At4g31780 F28M20.30
F4JTS8	reviewed		NOV EMB2597 At4g13750 F18A5.130 F18A5.140
P43294	reviewed		MHK At4g13020 F25G13.110
Q9SRQ6	reviewed		NPC3 At3g03520 T21P5.6
Q9S816	reviewed		NPC5 At3g03540 T12J13.18 T21P5.4
Q8GYJ4	reviewed		MIA40 At5g23395
Q8GZN1	reviewed		NPG1 NPG At2g43040 MFL8.10
Q9CB03	reviewed		NPGR1 At1g27460 F17L21.25
Q9LYC2	reviewed		At3g63000 T20O10.100
O82264	reviewed		At2g47970 T9J23.1
Q84WV8	reviewed		NAPRT2 At2g23420 F26B6.7
Q944A9	reviewed		NPSN11 At2g35190 T4C15.14
O80970	reviewed		NPY2 At2g14820 F26C24.4
Q9FN09	reviewed		NPY3 At5g67440 K8K14.18
O64814	reviewed		NPY4 At2g23050 F21P24.11
Q0WL52	reviewed		NPY5 At4g37590 F19F18.80
Q9CA51	reviewed		MIF1 At1g74660 F1M20.34
Q2Q493	reviewed		MIF3 At1g18835 F6A14
Q93Z01	reviewed		At5g58730 MZN1.17
Q9C4Z7	reviewed		MINE1 ARC12 At1g69390 F10D13.22 F23O10.25
Q9LK88	reviewed		NQR At3g27890 K16N12.13
Q9SNV9	reviewed		NRAMP3 At2g23150 F21P24.21
Q9FN18	reviewed		NRAMP4 At5g67330 K8K14.5
Q9S9N8	reviewed		NRAMP6 At1g15960 T24D18.6
Q8L799	reviewed		MIOX1 At1g14520 F14L17.30 T5E21.2 T5E21_19
O82200	reviewed		MIOX2 At2g19800 F6F22.17
Q8H1S0	reviewed		MIOX4 At4g26260 T25K17.70
Q9FIN7	reviewed		MIP2 At5g24350 K16H17.4
F4KDA5	reviewed		OCT1 MIP At5g51540 K17N15.9
Q9LE33	reviewed		HPR3 At1g12550 F5O11.29 T12C24.9
O49710	reviewed		HSP15.4 At4g21870 T8O5.80
Q9STY7	reviewed		HSD3 At3g47360 T21L8.110
P51818	reviewed		HSP90-3 HSP81-3 HSP81.2 MUSE10 At5g56010 MDA7.5
O22230	reviewed		HSFB3 HSF05 At2g41690 T32G6.21
Q9LV27	reviewed		LST8-1 At3g18140 MRC8.12
F4IIK6	reviewed		LST8-2 At2g22040 T16B14.11 T16B14_11
Q9SCK1	reviewed		LSU1 At3g49580 T9C5.170
Q9FIR9	reviewed		LSU2 END6 At5g24660 MXC17.2
