Entry	Entry name	Status	Protein names	Gene names
Q6R0H0	RVE3_ARATH	reviewed	Protein REVEILLE 3 (Myb transcription factor LHY-CCA1-like3) (Myb-related protein ASG4) (Protein ALTERED SEED GERMINATION 4) (Transcription factor ASG4)	RVE3 ASG4 LCL3 At1g01520 F22L4.18
Q9LMM8	AGL28_ARATH	reviewed	Agamous-like MADS-box protein AGL28	AGL28 At1g01530 F22L4.7
F4HSC9	F4HSC9_ARATH	unreviewed	Protein kinase superfamily protein	At1g01540 F22L4.8 F22L4_8
Q3EDL4	Y1154_ARATH	reviewed	Probable serine/threonine-protein kinase At1g01540 (EC 2.7.11.1)	At1g01540 F22L4.8
Q9LMM5	MPK11_ARATH	reviewed	Mitogen-activated protein kinase 11 (AtMPK11) (MAP kinase 11) (EC 2.7.11.24)	MPK11 At1g01560 F22L4.10
P92949	FRO2_ARATH	reviewed	Ferric reduction oxidase 2 (AtFRO2) (EC 1.16.1.7) (Ferric-chelate reductase 2) (Protein FERRIC CHELATE REDUCTASE DEFECTIVE 1)	FRO2 FRD1 At1g01580 F22L4.12
Q9LMM0	GPAT4_ARATH	reviewed	Glycerol-3-phosphate 2-O-acyltransferase 4 (AtGPAT4) (EC 2.3.1.198) (Glycerol-3-phosphate acyltransferase 4)	GPAT4 At1g01610 F22L4.15
A8MSF6	A8MSF6_ARATH	unreviewed	Plasma membrane intrinsic protein 1C	PIP1C PIP1;3 TMP-B At1g01620 F22L4.16 F22L4_16
Q08733	PIP13_ARATH	reviewed	Aquaporin PIP1-3 (AtPIP1;3) (Plasma membrane intrinsic protein 1c) (PIP1c) (Transmembrane protein B) (TMP-B)	PIP1-3 PIP1C TMPB At1g01620 F22L4.16
Q9LQ96	Q9LQ96_ARATH	unreviewed	Polyphosphoinositide binding protein, putative (Putative polyphosphoinositide-binding protein) (Sec14p-like phosphatidylinositol transfer family protein) (T1N6.1 protein)	At1g01630 T1N6.1 T1N6_1
Q9LQ95	Y1164_ARATH	reviewed	BTB/POZ domain-containing protein At1g01640	At1g01640 T1N6.2
F4HU44	F4HU44_ARATH	unreviewed	SIGNAL PEPTIDE PEPTIDASE-LIKE 4	SPPL4 ATSPPL4 At1g01650 T1N6.3 T1N6_3
Q0WMJ8	SIPL4_ARATH	reviewed	Signal peptide peptidase-like 4 (AtSPPL4) (EC 3.4.23.-)	SPPL4 At1g01650 T1N6.3
Q9LQ89	ROGF2_ARATH	reviewed	Rop guanine nucleotide exchange factor 2 (AtRopGEF2) (Rho of plants guanine nucleotide exchange factor 2)	ROPGEF2 At1g01700 T1N6.8
Q39013	NAC2_ARATH	reviewed	NAC domain-containing protein 2 (ANAC002)	NAC002 ATAF1 At1g01720 T1N6.12
F4HU55	BSK4_ARATH	reviewed	Serine/threonine-protein kinase BSK4 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 4)	BSK4 At1g01740 T1N6.15
F4HU58	TAD1_ARATH	reviewed	tRNA-specific adenosine deaminase TAD1 (AtTAD1) (EC 3.5.4.34) (tRNA-specific adenosine-37 deaminase TAD1)	TAD1 At1g01760 T1N6.17
Q1ECF5	PLI2B_ARATH	reviewed	LIM domain-containing protein PLIM2b (Pollen-expressed LIM protein 2B)	PLIM2B At1g01780 T1N6.19
Q9ZTZ7	KEA1_ARATH	reviewed	K(+) efflux antiporter 1, chloroplastic (AtKEA1)	KEA1 At1g01790 T1N6.20/T1N6.21
A8MQD9	A8MQD9_ARATH	unreviewed	NAD(P)-binding Rossmann-fold superfamily protein	At1g01800 T1N6.22 T1N6_22
Q94K30	Q94K30_ARATH	unreviewed	AT1G01800 protein (NAD(P)-binding Rossmann-fold superfamily protein) (Putative carbonyl reductase)	At1g01800 T1N6.22 T1N6_22
Q9LQ73	PX11C_ARATH	reviewed	Peroxisomal membrane protein 11C (Peroxin-11C) (AtPEX11c)	PEX11C PEX11-1 At1g01820 T1N6.24
F4HU71	F4HU71_ARATH	unreviewed	5'-3' exonuclease family protein	AtGEN1 GEN1 ortholog of HsGEN1 At1g01880 F22M8.2 F22M8_2
Q9LPD2	GENL1_ARATH	reviewed	Flap endonuclease GEN-like 1 (EC 3.1.-.-)	GEN1 At1g01880 F22M8.2
B3H5S5	B3H5S5_ARATH	unreviewed	ATPase (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase)	At1g01910 F22M8.4 F22M8_4
F4HU77	F4HU77_ARATH	unreviewed	Arsenical pump-driving ATPase (EC 3.6.-.-)	At1g01910 F22M8.4 F22M8_4
Q949M9	Q949M9_ARATH	unreviewed	ATPase (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase)	At1g01910 F22M8.4 F22M8_4
F4HU79	F4HU79_ARATH	unreviewed	SET domain-containing protein	At1g01920 F22M8.5 F22M8_5
Q501D3	Q501D3_ARATH	unreviewed	At1g01920 (SET domain-containing protein)	At1g01920 F22M8.5 F22M8_5
Q9LPC5	BIG3_ARATH	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (BIG3) (ARF guanine-nucleotide exchange factor BIG3) (Protein EMBRYO SAC DEVELOPMENT ARREST 10)	BIG3 EDA10 At1g01960 F22M8.9
Q9LPC4	PPR1_ARATH	reviewed	Pentatricopeptide repeat-containing protein At1g01970	At1g01970 F22M8.10
Q9LPC2	Q9LPC2_ARATH	unreviewed	At1g01990 (F22M8.12 protein)	At1g01990 F22M8.12 F22M8_12
Q3EDL3	Q3EDL3_ARATH	unreviewed	At1g02040 (C2H2-type zinc finger family protein)	At1g02040 T7I23.24 T7I23_24
Q3EDL2	Q3EDL2_ARATH	unreviewed	Squamosa promoter binding protein-like 8	SPL8 At1g02065
Q8GXL3	SPL8_ARATH	reviewed	Squamosa promoter-binding-like protein 8	SPL8 At1g02065 T7I23.32
F4HVV6	F4HVV6_ARATH	unreviewed	Transcription regulator	At1g02080 T7I23.15 T7I23_15
F4HVV7	F4HVV7_ARATH	unreviewed	Transcription regulator	At1g02080 T7I23.15 T7I23_15
F4HVW0	F4HVW0_ARATH	unreviewed	Proteasome component (PCI) domain protein	FUS5 ATCSN7 COP15 COP9 SIGNALOSOME SUBUNIT 7 CSN7 FUSCA 5 At1g02090 T7I23.25 T7I23_25
Q94JU3	CSN7_ARATH	reviewed	COP9 signalosome complex subunit 7 (CSN complex subunit 7) (Protein FUSCA 5)	CSN7 FUS5 At1g02090 T7I23.24 T7I23.25
P28188	RAD2A_ARATH	reviewed	Ras-related protein RABD2a (AtRABD2a) (Ras-related protein Ara-5) (Ras-related protein Rab1B) (AtRab1B)	RABD2A ARA-5 RAB1B At1g02130 T7I23.6
O23676	MGN_ARATH	reviewed	Protein mago nashi homolog (AtMAGO)	MAGO At1g02140 T7I23.7
Q8LPS6	PPR3_ARATH	reviewed	Pentatricopeptide repeat-containing protein At1g02150	At1g02150 T6A9.13 T7I23.8
A8MQS6	A8MQS6_ARATH	unreviewed	Cox19 family protein (CHCH motif)	At1g02160 T6A9.18
Q8VZ44	Q8VZ44_ARATH	unreviewed	Cox19 family protein (CHCH motif)	At1g02160 T6A9.18
Q7XJE6	MCA1_ARATH	reviewed	Metacaspase-1 (AtMC1) (EC 3.4.22.-) (Metacaspase 1b) (AtMCP1b) (Protein LSD ONE LIKE 3)	AMC1 LOL3 MCP1B At1g02170 T7I23.17
F4HVY0	CER1_ARATH	reviewed	Very-long-chain aldehyde decarbonylase CER1 (EC 4.1.99.5) (Protein ECERIFERUM 1)	CER1 At1g02205 T7I23.10
Q3E7L2	Q3E7L2_ARATH	unreviewed	At1g02210 (NAC (No Apical Meristem) domain transcriptional regulator superfamily protein)	At1g02210 T6A9.33
Q5PP28	NAC3_ARATH	reviewed	NAC domain-containing protein 3 (ANAC003)	NAC003 At1g02220 T7I23.18
O81913	NAC4_ARATH	reviewed	NAC domain-containing protein 4 (ANAC004)	NAC004 At1g02230 T7I23.19
O23680	TOC33_ARATH	reviewed	Translocase of chloroplast 33, chloroplastic (AtToc33) (EC 3.6.5.-) (33 kDa chloroplast outer envelope protein) (Plastid protein import 1)	TOC33 PPI1 At1g02280 T7I23.11
Q9FE22	HFR1_ARATH	reviewed	Transcription factor HFR1 (Basic helix-loop-helix protein 26) (AtbHLH26) (bHLH 26) (Protein LONG HYPOCOTYL IN FAR-RED 1) (Protein REDUCED PHYTOCHROME SIGNALING) (Reduced sensitivity to far-red light) (Transcription factor EN 68) (bHLH transcription factor bHLH026)	HFR1 BHLH26 EN68 FBI1 REP1 RSF1 At1g02340 T6A9.4 T6A9_13
Q9FZ23	Q9FZ23_ARATH	unreviewed	T6A9.7 protein (Transmembrane protein)	At1g02380 T6A9.7 T6A9_7
Q8GWR0	COX11_ARATH	reviewed	Cytochrome c oxidase assembly protein COX11, mitochondrial	COX11 At1g02410 T6A9.10
Q9FNZ5	NIMI1_ARATH	reviewed	Protein NIM1-INTERACTING 1 (Protein NIMIN-1)	NIMIN-1 At1g02450 T14P4.19 T6A9_28
P23686	METK1_ARATH	reviewed	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)	SAM1 At1g02500 T14P4.17 T14P4_22
Q9FWX6	KCO4_ARATH	reviewed	Two-pore potassium channel 4 (AtTPK4) (Outward-rectifying potassium channel 4) (AtKCO4)	TPK4 KCO4 At1g02510 T14P4.16
Q9FWX7	AB11B_ARATH	reviewed	ABC transporter B family member 11 (ABC transporter ABCB.11) (AtABCB11) (Multidrug resistance protein 8) (P-glycoprotein 11)	ABCB11 MDR8 PGP11 At1g02520 T14P4.15
Q9FWX8	AB12B_ARATH	reviewed	ABC transporter B family member 12 (ABC transporter ABCB.12) (AtABCB12) (Multidrug resistance protein 16) (P-glycoprotein 12)	ABCB12 MDR16 PGP12 At1g02530 T14P4.14
Q9S834	CLPP5_ARATH	reviewed	ATP-dependent Clp protease proteolytic subunit 5, chloroplastic (EC 3.4.21.92) (Endopeptidase ClpP5) (nClpP5) (nClpP1)	CLPP5 NCLPP1 NCLPP5 At1g02560 T14P4.12
O65312	MEDEA_ARATH	reviewed	Histone-lysine N-methyltransferase MEDEA (EC 2.1.1.43) (Maternal embryogenesis control protein) (Protein EMBRYO DEFECTIVE 173) (Protein FERTILIZATION-INDEPENDENT SEED 1) (Protein SET DOMAIN GROUP 5)	MEA EMB173 FIS1 MEDEA SDG5 SET5 At1g02580 T14P4.11
F4HXK4	F4HXK4_ARATH	unreviewed	RING/FYVE/PHD zinc finger superfamily protein	At1g02610 T14P4.10 T14P4_10
Q6NQH4	TAF13_ARATH	reviewed	Transcription initiation factor TFIID subunit 13 (TBP-associated factor 13) (AtTAF13)	TAF13 At1g02680
F4HXL3	F4HXL3_ARATH	unreviewed	Importin subunit alpha	IMPA-6 importin alpha isoform 6 At1g02690 T14P4.3 T14P4_3
Q9FWY7	IMPA6_ARATH	reviewed	Importin subunit alpha-6 (IMPa-6)	IMPA6 At1g02690 T14P4.3
Q4V3E2	MRG2_ARATH	reviewed	Protein MRG2 (MRG family protein 2) (Morf Related Gene 2)	MRG2 At1g02740 F22D16.25
Q9SRX2	RL191_ARATH	reviewed	60S ribosomal protein L19-1 (Protein EMBRYO DEFECTIVE 2386)	RPL19A EMB2386 At1g02780 F22D16.23
Q9SRX4	PME7_ARATH	reviewed	Probable pectinesterase/pectinesterase inhibitor 7 [Includes: Pectinesterase inhibitor 7 (Pectin methylesterase inhibitor 7); Pectinesterase 7 (PE 7) (EC 3.1.1.11) (Pectin methylesterase 1) (AtPME1) (Pectin methylesterase 7)]	PME7 ARATH1 At1g02810 F22D16.20
Q9SRX6	LEA2_ARATH	reviewed	Late embryogenis abundant protein 2	LEA2 AtLEA3 At1g02820 F22D16.18
O22315	SR34_ARATH	reviewed	Serine/arginine-rich-splicing factor SR34 (At-SR34) (At-SRp34) (AtSR34) (Pre-mRNA-splicing factor SF2) (SR1 protein)	SR34 SF2 SR1 SRP34 At1g02840 F22D16.16 F22D16_30
Q8RWK5	Q8RWK5_ARATH	unreviewed	At1g02870 (Nucleolar-like protein)	At1g02870 F22D16.13 F22D16_13
Q9SRY3	RLF1_ARATH	reviewed	Protein RALF-like 1 (Rapid alkalinization factor 1) (AtRALF1)	RALF1 RALFL1 At1g02900 F22D16.10
Q9SRY4	LPA1_ARATH	reviewed	Protein LOW PSII ACCUMULATION 1, chloroplastic	LPA1 At1g02910 F22D16.9
Q9SRY5	GSTF7_ARATH	reviewed	Glutathione S-transferase F7 (EC 2.5.1.18) (AtGSTF8) (GST class-phi member 7) (Glutathione S-transferase 11)	GSTF7 GST11 GSTF8 At1g02920 F22D16.8
P42760	GSTF6_ARATH	reviewed	Glutathione S-transferase F6 (AtGSTF6) (EC 2.5.1.18) (AtGSTF3) (GST class-phi member 6) (Glutathione S-transferase 1) (AtGST1) (Protein EARLY RESPONSE TO DEHYDRATION 11)	GSTF6 ERD11 GST1 GSTF3 At1g02930 F22D16.7
Q8L4H0	WEE1_ARATH	reviewed	Wee1-like protein kinase (EC 2.7.10.2) (Wee1-At)	WEE1 At1g02970 F22D16.3
Q9SRZ0	CUL2_ARATH	reviewed	Cullin-2 (AtCUL1)	CUL2 At1g02980 F22D16.2
Q8RY16	PEX6_ARATH	reviewed	Peroxisome biogenesis protein 6 (Peroxin-6) (AtPEX6)	PEX6 At1g03000 F10O3.18
Q9SA68	GRXS1_ARATH	reviewed	Monothiol glutaredoxin-S1 (AtGrxS1) (Protein ROXY 16)	GRXS1 ROXY16 At1g03020 F10O3.15 F10O3.16
F4HZA7	F4HZA7_ARATH	unreviewed	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein	At1g03040 F10O3.14 F10O3_14
Q93Y00	BH007_ARATH	reviewed	Transcription factor bHLH7 (Basic helix-loop-helix protein 7) (AtbHLH7) (bHLH 7) (Transcription factor EN 92) (bHLH transcription factor bHLH007)	BHLH7 EN92 At1g03040 F10O3.14
F4HZB2	BCHA1_ARATH	reviewed	Protein SPIRRIG (BEACH domain-containing protein A1) (BEACH-domain homolog A1)	SPI BCHA1 At1g03060 F10O3.12
Q9SA63	LFG4_ARATH	reviewed	Protein LIFEGUARD 4 (AtLFG4)	LFG4 At1g03070 F10O3.11
Q42523	MCCA_ARATH	reviewed	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	MCCA At1g03090 F10O3.9 F10O3_8
Q9SA56	PSAD2_ARATH	reviewed	Photosystem I reaction center subunit II-2, chloroplastic (Photosystem I 20 kDa subunit 2) (PSI-D2)	PSAD2 At1g03130 F10O3_4
Q9SA55	Q9SA55_ARATH	unreviewed	F10O3.3 protein (Splicing factor Prp18 family protein)	At1g03140 F10O3.3 F10O3_3
Q8LGI8	NAA20_ARATH	reviewed	N-terminal acetyltransferase B complex catalytic subunit NAA20 (EC 2.3.1.254) (NatB N-alpha-terminal acetylation complex catalytic subunit)	NAA20 NBC At1g03150 F10O3.2
Q1KPV0	FZL_ARATH	reviewed	Probable transmembrane GTPase FZO-like, chloroplastic (EC 3.6.5.-)	FZL At1g03160 F10O3.1 F15K9.23
Q8W4M7	ERCC2_ARATH	reviewed	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 3.6.4.12) (ERCC2 homolog) (RAD3 homolog) (UV hypersensitive protein 6) (AtUVH6) (XPD homolog) (AtXPD)	XPD UVH6 At1g03190 F15K9.20
F4I0U6	F4I0U6_ARATH	unreviewed	R3H domain protein	At1g03250 F15K9.15 F15K9_15
Q8L3X7	Q8L3X7_ARATH	unreviewed	At1g03250/F15K9_13 (R3H domain protein)	At1g03250 F15K9.15 F15K9_15
Q9ZVT0	Q9ZVT0_ARATH	unreviewed	ELKS/Rab6-interacting/CAST family protein (F15K9.11 protein)	At1g03290 F15K9.11 F15K9_11
Q9ZVT6	Q9ZVT6_ARATH	unreviewed	BSD domain-containing protein (F15K9.5 protein)	At1g03350 F15K9.5 F15K9_5
Q9ZVT7	RRP4_ARATH	reviewed	Exosome complex component RRP4 homolog (Ribosomal RNA-processing protein 4) (AtRRP4) (AtRrp4p)	RRP4 At1g03360 F15K9.4
Q8L9T7	AHP5_ARATH	reviewed	Histidine-containing phosphotransfer protein 5	AHP5 At1g03430 F21B7.5
Q9LR78	BSU1_ARATH	reviewed	Serine/threonine-protein phosphatase BSU1 (EC 3.1.3.16) (Bri1 suppressor protein 1)	BSU1 At1g03445 F21B7.7
F4I0X0	F4I0X0_ARATH	unreviewed	RNA-binding (RRM/RBD/RNP motifs) family protein	AtBRN2 BRN2 Bruno-like 2 At1g03457 F21B7.8
Q8GZ26	BRN2L_ARATH	reviewed	RNA-binding protein BRN2 (Protein BRUNO-LIKE 2) (AtBRN2)	BRN2 At1g03457 F21B7.8
Q9LR75	HEM61_ARATH	reviewed	Coproporphyrinogen-III oxidase 1, chloroplastic (AtCPO-I) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3) (Protein LESION INITIATION 2)	CPX1 CPO HEMF HEMF1 LIN2 At1g03475 F21B7.10
A8MQE8	A8MQE8_ARATH	unreviewed	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	At1g03520 F21B7.14
Q9LR71	Q9LR71_ARATH	unreviewed	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (F21B7.14) (Glycosyltransferase) (Putative glycosylation enzyme)	At1g03520 AT1G03520 F21B7.14
Q9LR70	Q9LR70_ARATH	unreviewed	F21B7.15 (Nuclear assembly factor 1)	NAF1 ATNAF1 nuclear assembly factor 1 At1g03530 F21B7.15
Q9LR65	P2C01_ARATH	reviewed	Probable protein phosphatase 2C 1 (AtPP2C01) (EC 3.1.3.16) (AtPPC6;6)	PPC6-6 At1g03590 F21B7.20
Q9LR64	PB27A_ARATH	reviewed	Photosystem II repair protein PSB27-H1, chloroplastic (Psb27-H1) (Thylakoid lumenal protein PSB27-H1)	PSB27-1 At1g03600 F21B7.14 F21B7.21 F21B7.22 F21B7_140
F4I2F8	F4I2F8_ARATH	unreviewed	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33)	POR C PORC At1g03630 F21B7.24
O48741	PORC_ARATH	reviewed	Protochlorophyllide reductase C, chloroplastic (PCR C) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase C) (POR C)	PORC At1g03630 F21B7.24 F21B7.35 F21B7_11
F4I2G0	F4I2G0_ARATH	unreviewed	Ankyrin-repeat containing protein	At1g03660 F21B7.26 F21B7_26
O48737	TRXM1_ARATH	reviewed	Thioredoxin M1, chloroplastic (AtTrxm1)	At1g03680 F21B7.28 F21B7_7
Q1ECK0	Q1ECK0_ARATH	unreviewed	At1g03730 (Pyrroline-5-carboxylate reductase)	At1g03730 F21B7.33
F4I2H1	F4I2H1_ARATH	unreviewed	Protein kinase superfamily protein	At1g03740 F21B7.34
Q9LR53	Q9LR53_ARATH	unreviewed	F21B7.34 (Protein kinase superfamily protein)	At1g03740 F21B7.34
F4I2H2	CHR9_ARATH	reviewed	Switch 2 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 9) (AtCHR9)	SWI2 CHR9 At1g03750 F11M21.32
F4I2H7	TPX2_ARATH	reviewed	Protein TPX2 (AtTPX2) (Targeting protein for XKLP2)	TPX2 At1g03780 F11M21.29
Q9ZWA1	C3H2_ARATH	reviewed	Zinc finger CCCH domain-containing protein 2 (AtC3H2) (Protein SOMNUS) (SOM) (Tandem CCCH Zinc Finger protein 4) (AtTZF4)	TZF4 At1g03790 F11M21.28
Q9ZWA2	ERF77_ARATH	reviewed	Ethylene-responsive transcription factor 10 (AtERF10) (Ethylene-responsive element-binding factor 10) (EREBP-10)	ERF10 ERF-10 ERF077 At1g03800 F21M11.27
Q9ZWA6	IDD3_ARATH	reviewed	Zinc finger protein MAGPIE (Protein POLLEN SPECIFIC GENE 3) (Protein indeterminate-domain 3) (AtIDD3)	MGP IDD3 PSG3 At1g03840 F11M21.23
Q84TF4	GRS13_ARATH	reviewed	Monothiol glutaredoxin-S13 (AtGrxS13) (Protein ROXY 18)	GRXS13 ROXY18 At1g03850 F21M11.22
Q9ZNT7	PHB2_ARATH	reviewed	Prohibitin-2, mitochondrial (Atphb2)	PHB2 At1g03860 F21M11.21
Q681Q7	Y1390_ARATH	reviewed	Uncharacterized protein At1g03900	At1g03900 F21M11.17
F4I2J8	CATIN_ARATH	reviewed	Cactin	CTN At1g03910 F21M11.16
Q941D5	VPS2C_ARATH	reviewed	Vacuolar protein sorting-associated protein 2 homolog 3 (AtVPS2-3) (Charged multivesicular body protein 2 homolog 3) (ESCRT-III complex subunit VPS2 homolog 3)	VPS2.3 CHMP2-3 At1g03950 F21M11.12
P42777	GBF4_ARATH	reviewed	G-box-binding factor 4 (bZIP transcription factor 40) (AtbZIP40)	GBF4 BZIP40 At1g03970 F21M11.10
Q4VCM1	LCAT2_ARATH	reviewed	Phospholipid--sterol O-acyltransferase (EC 2.3.1.-) (Lecithin-cholesterol acyltransferase-like 2)	PSAT LCAT2 PSAT1 At1g04010 F21M11.5
F4I442	F4I442_ARATH	unreviewed	Breast cancer associated RING 1	BARD1 ATBARD1 ROW1 At1g04020 F21M11.4 F21M11_4
